"sampleID" "fishID" "origin" "enclosure" "transplant" "date_in" "pre_mass" "pre_length" "post_mass" "post_length" "pw" "bd" "gw" "grn" "grl" "sex" "survived"
"220" "S06A" 110 "Stream" "S6" "Stream" "06/03/11" 1.82 4.8 1.81 4.9 6.24 12.99 3.77 16 2.9 "M" 1
"221" "S06B" 109 "Stream" "S6" "Stream" "06/03/11" 1.44 4.4 1.18 4.5 6.01 11.81 2.73 17 2.5 "M" 1
"222" "S06C" 126 "Lake" "S6" "Stream" "06/03/11" 1.11 4.5 0.84 4.1 4.22 8.17 2.64 17 3.4 "F" 1
"223" "S07A" 108 "Stream" "S7" "Stream" "06/03/11" 3.2 5.5 2 5.7 6.21 12.85 3.58 19 3 "F" 1
"224" "S07C" 128 "Lake" "S7" "Stream" "06/03/11" 0.9 4 0.95 4.4 3.54 9.13 3.09 16 2.5 "M" 1
"225" "S08A" 107 "Stream" "S8" "Stream" "06/03/11" 1.53 4.6 1.41 4.9 5.23 9.99 2.96 17 2.8 "F" 1
"226" "S08B" 129 "Lake" "S8" "Stream" "06/03/11" 0.73 4 0.83 4.3 3.5 7.89 2.86 19 3.4 "M" 1
"227" "S08C" 106 "Stream" "S8" "Stream" "06/03/11" 1.33 4.4 1.58 4.8 5.5 11.7 3.26 18 2.5 "F" 1
"228" "S09A" 104 "Stream" "S9" "Stream" "06/03/11" 1.76 4.9 1.45 5 5.86 12.35 2.83 20 3.2 "F" 1
"229" "S09B" 105 "Stream" "S9" "Stream" "06/03/11" 2 5 1.91 5.2 6.13 12.61 3.47 19 3 "M" 1
"230" "S09C" 130 "Lake" "S9" "Stream" "06/03/11" 1.28 4.9 0.89 4.9 4.3 8.83 2.27 17 2.9 "F" 1
"231" "S10A" 103 "Stream" "S10" "Stream" "06/03/11" 2.15 5 2.08 5.2 6.58 12.72 3.29 20 3.3 "F" 1
"232" "S10B" 131 "Lake" "S10" "Stream" "06/03/11" 0.97 4.5 0.87 4.5 3.69 7.98 2.85 19 2.6 "F" 1
"233" "S10C" 102 "Stream" "S10" "Stream" "06/03/11" 2.16 5.1 2.34 5.3 7.32 13.18 4.28 17 3.3 "M" 1
"234" "S11A" 132 "Lake" "S11" "Stream" "06/03/11" 1.67 4.6 1.27 4.8 5.37 10.5 3.2 20 2.6 "F" 1
"235" "S11B" 133 "Lake" "S11" "Stream" "06/03/11" 1.83 5.1 1.52 5.2 5 11.41 3.58 18 3 "F" 1
"236" "S11C" 101 "Stream" "S11" "Stream" "06/03/11" 1.2 4.4 1.18 4 5.36 10.35 2.75 17 2.8 "M" 1
"237" "S12A" 134 "Lake" "S12" "Stream" "06/03/11" 0.85 4.2 1.12 4.7 4.89 9.45 2.78 20 2.9 "M" 1
"238" "S12B" 99 "Stream" "S12" "Stream" "06/03/11" 1.62 4.8 1.76 5.1 5.9 12.07 3.49 17 2.5 "F" 1
"239" "S12C" 100 "Stream" "S12" "Stream" "06/03/11" 1.61 4.7 1.53 4.8 5.5 12.15 3.18 19 2.6 "F" 1
"240" "S13A" 135 "Lake" "S13" "Stream" "06/03/11" 0.85 4.1 0.93 4.3 3.79 9.77 3.1 19 2.9 "M" 1
"241" "S13B" 136 "Lake" "S13" "Stream" "06/03/11" 1.49 4.8 1.39 5 4.48 10.65 3.68 21 3.4 "M" 1
"242" "S13C" 98 "Stream" "S13" "Stream" "06/03/11" 1.26 4.5 1.45 4.8 5.12 11.38 2.82 17 2.7 "F" 1
"243" "S14A" 97 "Stream" "S14" "Stream" "06/03/11" 1.46 4.6 1.38 4.9 5.37 11.27 2.91 17 2.8 "F" 1
"244" "S14B" 137 "Lake" "S14" "Stream" "06/03/11" 0.97 4.2 1.12 4.3 4.21 10.06 2.94 20 3.1 "M" 1
"245" "S15A" 95 "Stream" "S15" "Stream" "06/03/11" 1.75 4.9 1.78 5 6.24 12.15 3.27 21 2.7 "F" 1
"246" "S15B" 96 "Stream" "S15" "Stream" "06/03/11" 1.67 4.9 1.65 4.9 5.38 12.31 3.48 18 2.8 "M" 1
"247" "S15C" 139 "Lake" "S15" "Stream" "06/03/11" 1.16 4.4 1.13 4.4 4.55 9.95 3.26 20 3 "M" 1
"248" "S16A" 140 "Lake" "S16" "Stream" "06/03/11" 0.77 3.8 1.09 4.6 4.39 10.39 3.26 20 3.5 "M" 1
"249" "S16B" 94 "Stream" "S16" "Stream" "06/03/11" 1.63 4.9 1.66 5.1 5.42 11.72 3.49 20 3 "M" 1
"250" "S16C" 93 "Stream" "S16" "Stream" "06/03/11" 1.96 4.9 1.63 5 6.01 12.03 3.28 18 2.9 "F" 1
"251" "S17A" 141 "Lake" "S17" "Stream" "06/03/11" 1.81 4.9 1.37 5 5.2 10.18 3.3 19 2.3 "F" 1
"252" "S17B" 92 "Stream" "S17" "Stream" "06/03/11" 1.52 4.5 1.56 4.9 5.67 12.09 3.15 20 3 "F" 1
"253" "S17C" 142 "Lake" "S17" "Stream" "06/03/11" 1 4.3 1.08 4.5 4.12 9.41 3.03 19 2.7 "F" 1
"254" "S18A" 90 "Stream" "S18" "Stream" "06/03/11" 1.82 5 1.66 5.1 6.61 11.35 2.91 19 2.6 "F" 1
"255" "S18B" 91 "Stream" "S18" "Stream" "06/03/11" 1.6 4.7 1.68 4.9 5.27 12.78 3.93 17 3.4 "M" 1
"256" "S19A" 144 "Lake" "S19" "Stream" "06/03/11" 0.93 4.2 1.03 4.6 4.66 9.27 2.89 19 2.4 "F" 1
"257" "S19B" 88 "Stream" "S19" "Stream" "06/03/11" 1.88 4.9 1.95 5.2 6.5 12.57 3.26 18 3.2 "F" 1
"258" "S20B" 87 "Stream" "S20" "Stream" "06/03/11" 2.23 5.2 1.98 5.3 6.38 12.48 3.66 18 2.7 "F" 1
"259" "S21A" 147 "Lake" "S21" "Stream" "06/04/11" 0.66 3.9 0.75 4.1 3.66 8.62 2.76 19 2.7 "M" 1
"260" "S21B" 86 "Stream" "S21" "Stream" "06/03/11" 1.31 4.6 1.55 4.9 6.48 12.52 3.05 17 3.1 "F" 1
"261" "S21C" 85 "Stream" "S21" "Stream" "06/03/11" 1.44 4.8 1.37 4.9 5.5 11.39 2.98 18 2.2 "F" 1
"262" "S22A" 84 "Stream" "S22" "Stream" "06/03/11" 2.38 5.4 2.56 5.5 7.28 14.66 3.88 21 3.4 "F" 1
"263" "S22B" 148 "Lake" "S22" "Stream" "06/04/11" 3.6 5.7 2.81 5.8 6.65 14.13 4.02 18 3.6 "F" 1
"264" "S23A" 150 "Lake" "S23" "Stream" "06/04/11" 1.44 4.7 1.13 4.8 4.46 9.28 3.26 19 3.1 "F" 1
"265" "S23B" 83 "Stream" "S23" "Stream" "06/03/11" 1.47 4.3 1.83 5.2 5.71 11.87 3.04 20 2.3 "F" 1
"266" "S23C" 151 "Lake" "S23" "Stream" "06/04/11" 0.72 3.9 0.63 4.2 3.67 8.3 2.35 16 2.3 "F" 1
"267" "S25B" 81 "Stream" "S25" "Stream" "06/03/11" 2.67 5.3 2.35 5.5 4.48 9.46 2.77 16 2.4 "F" 1
"268" "S25C" 154 "Lake" "S25" "Stream" "06/04/11" 0.74 4 0.82 4.1 3.45 8.51 2.7 21 2.9 "M" 1
"269" "S26A" 80 "Stream" "S26" "Stream" "06/02/11" 1.11 4.4 1.32 4.7 5.12 10.62 3.15 17 2.7 "F" 1
"270" "S26B" 156 "Lake" "S26" "Stream" "06/04/11" 0.7 3.9 0.83 4.2 3.46 8.01 2.99 19 2.8 "M" 1
"271" "S26C" 157 "Lake" "S26" "Stream" "06/04/11" 0.74 3.7 0.87 4 4.36 9.43 3.08 18 2.9 "M" 1
"272" "S27A" 158 "Lake" "S27" "Stream" "06/04/11" 2.42 5.9 1.96 5.9 5.85 11.67 3.96 18 3.2 "F" 1
"273" "S27B" 159 "Lake" "S27" "Stream" "06/04/11" 0.63 3.8 0.87 4.1 3.87 9.35 2.9 19 3.1 "F" 1
"274" "S27C" 79 "Stream" "S27" "Stream" "06/02/11" 1.07 4.7 1.35 4.5 5.24 11.16 3.18 18 2.8 "F" 1
"275" "S28A" 160 "Lake" "S28" "Stream" "06/04/11" 1.82 5 1.72 5.3 5.64 11.87 3.93 21 2.9 "F" 1
"276" "S29A" 161 "Lake" "S29" "Stream" "06/04/11" 0.62 3.8 0.8 4.2 3.89 8.55 2.69 22 3 "M" 1
"277" "S29B" 75 "Stream" "S29" "Stream" "06/02/11" 1.19 4.4 1.28 4.7 5.05 11.26 2.84 19 2.7 "F" 1
"278" "S29C" 76 "Stream" "S29" "Stream" "06/02/11" 1.23 4.5 1.47 4.8 5.3 11.08 2.72 18 2.9 "F" 1
"279" "S30A" 163 "Lake" "S30" "Stream" "06/04/11" 0.56 3.5 0.73 3.9 4.02 8.61 2.81 20 3.3 "M" 1
"280" "S30B" 162 "Lake" "S30" "Stream" "06/04/11" 2.02 5.2 1.59 5.2 5.58 11.68 3.78 21 2.4 "F" 1
"281" "S30C" 74 "Stream" "S30" "Stream" "06/02/11" 1.48 4.7 1.56 4.9 5.68 11.9 2.81 19 2.9 "F" 1
"282" "S31A" 73 "Stream" "S31" "Stream" "06/02/11" 2.28 5.2 2.17 5.5 6.32 13.24 3.59 19 3.1 "F" 1
"283" "S31B" 165 "Lake" "S31" "Stream" "06/04/11" 0.66 3.7 0.86 4.1 3.66 9.09 2.86 18 2.9 "M" 1
"284" "S31C" 164 "Lake" "S31" "Stream" "06/04/11" 0.68 3.8 0.93 4.1 4.2 8.72 2.82 19 2.2 "M" 1
"285" "S32A" 167 "Lake" "S32" "Stream" "06/04/11" 0.66 3.5 0.92 4.1 4.37 9.3 2.76 20 2.7 "F" 1
"286" "S32B" 72 "Stream" "S32" "Stream" "06/02/11" 1.41 4.9 1.71 5 5.96 12.38 3.29 16 2.4 "F" 1
"287" "S33A" 168 "Lake" "S33" "Stream" "06/04/11" 0.99 4.4 1.09 4.7 4.85 10.69 2.65 19 2.7 "F" 1
"288" "S33B" 71 "Stream" "S33" "Stream" "06/02/11" 1.59 4.6 2.06 4.9 6.11 14 3.03 19 3.3 "F" 1
"289" "S34A" 170 "Lake" "S34" "Stream" "06/04/11" 0.74 5 1.38 5.2 5.4 9.68 3.32 21 3 "F" 1
"290" "S34B" 69 "Stream" "S34" "Stream" "06/02/11" 1.88 5.1 1.8 5.2 6.44 12.24 3.17 18 2.9 "F" 1
"291" "S35A" 68 "Stream" "S35" "Stream" "06/02/11" 2.99 5.5 2.77 5.7 6.78 14.34 3.65 18 3.6 "F" 1
"292" "S36A" 67 "Stream" "S36" "Stream" "06/02/11" 1.83 4.8 1.69 5 5.82 12.23 3.57 20 3 "M" 1
"293" "S36B" 174 "Lake" "S36" "Stream" "06/04/11" 0.83 3.9 0.86 4.2 3.98 9 3.15 18 2.9 "M" 1
"294" "S37C" 65 "Stream" "S37" "Stream" "06/02/11" 1.26 4.3 1.53 4.7 NA NA NA NA NA NA 1
"295" "S38A" 64 "Stream" "S38" "Stream" "06/02/11" 1.56 4.7 1.79 5 6.17 11.62 3.25 19 2.6 "F" 1
"296" "S39A" 63 "Stream" "S39" "Stream" "06/02/11" 1.79 4.8 1.94 5 5.28 12.65 3.63 18 2.9 "M" 1
"297" "S39B" 178 "Lake" "S39" "Stream" "06/04/11" 1.58 4.2 1.58 5 4.88 11.53 3.49 21 3.8 "M" 1
"298" "S40A" 62 "Stream" "S40" "Stream" "06/02/11" 2.33 5.4 2.44 5.5 6.67 13.08 3.38 17 2.5 "F" 1
"299" "S40B" 180 "Lake" "S40" "Stream" "06/04/11" 2.33 5.4 2.19 5.8 5.8 12.77 3.88 21 3.2 "F" 1
"300" "S40C" 61 "Stream" "S40" "Stream" "06/02/11" 1.19 4.5 1.73 5.1 5.89 11.78 3.19 18 2.4 "F" 1
