sampleID,fishID,origin,enclosure,transplant,date_in,pre_mass,pre_length,post_mass,post_length,pw,bd,gw,grn,grl,sex,survived,cage_mass_stdev,cage_mass_mean,cage_mass_mean_deviation_sd
S22A,84,Stream,S22,Stream,06/03/11,2.38,5.4,2.56,5.5,7.28,14.66,3.88,21,3.4,F,1,1.3668820968418112,1.895,0.3548221175188373
S22B,148,Lake,S22,Stream,06/04/11,3.6,5.7,2.81,5.8,6.65,14.13,4.02,18,3.6,F,1,1.3668820968418112,1.895,1.2473643512775625
S23A,150,Lake,S23,Stream,06/04/11,1.44,4.7,1.13,4.8,4.46,9.28,3.26,19,3.1,F,1,0.4246174749112429,1.21,0.5416640001640924
S23B,83,Stream,S23,Stream,06/03/11,1.47,4.3,1.83,5.2,5.71,11.87,3.04,20,2.3,F,1,0.4246174749112429,1.21,0.6123158262724524
S23C,151,Lake,S23,Stream,06/04/11,0.72,3.9,0.63,4.2,3.67,8.3,2.35,16,2.3,F,1,0.4246174749112429,1.21,-1.1539798264365448
149,149,Lake,S24,Stream,06/04/11,0.58,3.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3606244584051393,0.835,-0.7071067811865475
82,82,Stream,S24,Stream,06/03/11,1.09,4.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3606244584051393,0.835,0.7071067811865477
155,155,Lake,S25,Stream,06/04/11,0.92,4.4,NA,NA,NA,NA,NA,NA,NA,NA,0,1.066130073365034,1.4433333333333334,-0.49087193618085695
S25B,81,Stream,S25,Stream,06/03/11,2.67,5.3,2.35,5.5,4.48,9.46,2.77,16,2.4,F,1,1.066130073365034,1.4433333333333334,1.1505788058251933
S25C,154,Lake,S25,Stream,06/04/11,0.74,4,0.82,4.1,3.45,8.51,2.7,21,2.9,M,1,1.066130073365034,1.4433333333333334,-0.6597068696443364
S26A,80,Stream,S26,Stream,06/02/11,1.11,4.4,1.32,4.7,5.12,10.62,3.15,17,2.7,F,1,0.22605309110914637,0.85,1.150172283529903
S26B,156,Lake,S26,Stream,06/04/11,0.7,3.9,0.83,4.2,3.46,8.01,2.99,19,2.8,M,1,0.22605309110914637,0.85,-0.6635609328057132
S26C,157,Lake,S26,Stream,06/04/11,0.74,3.7,0.87,4,4.36,9.43,3.08,18,2.9,M,1,0.22605309110914637,0.85,-0.4866113507241895
S27A,158,Lake,S27,Stream,06/04/11,2.42,5.9,1.96,5.9,5.85,11.67,3.96,18,3.2,F,1,0.9327557736799774,1.3733333333333333,1.122122956727761
S27B,159,Lake,S27,Stream,06/04/11,0.63,3.8,0.87,4.1,3.87,9.35,2.9,19,3.1,F,1,0.9327557736799774,1.3733333333333333,-0.7969217176760851
S27C,79,Stream,S27,Stream,06/02/11,1.07,4.7,1.35,4.5,5.24,11.16,3.18,18,2.8,F,1,0.9327557736799774,1.3733333333333333,-0.3252012390516759
77,77,Stream,S28,Stream,06/02/11,1.42,4.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2968725877094976,1.4933333333333334,-0.24701955104421175
78,78,Stream,S28,Stream,06/02/11,1.24,4.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2968725877094976,1.4933333333333334,-0.8533402672436392
S28A,160,Lake,S28,Stream,06/04/11,1.82,5,1.72,5.3,5.64,11.87,3.93,21,2.9,F,1,0.2968725877094976,1.4933333333333334,1.1003598182878502
S29A,161,Lake,S29,Stream,06/04/11,0.62,3.8,0.8,4.2,3.89,8.55,2.69,22,3,M,1,0.34122328955294556,1.0133333333333332,-1.1527153783924295
S29B,75,Stream,S29,Stream,06/02/11,1.19,4.4,1.28,4.7,5.05,11.26,2.84,19,2.7,F,1,0.34122328955294556,1.0133333333333332,0.5177450428372781
S29C,76,Stream,S29,Stream,06/02/11,1.23,4.5,1.47,4.8,5.3,11.08,2.72,18,2.9,F,1,0.34122328955294556,1.0133333333333332,0.6349703355551525
123,123,Lake,S3,Stream,06/03/11,1.71,5.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3315116890850155,1.6099999999999999,0.3016484887033811
S03A,115,Stream,S3,Stream,06/03/11,1.88,5,1.86,5.2,6.68,12.61,3.39,18,3.1,F,1,0.3315116890850155,1.6099999999999999,0.8144509194991283
S03B,116,Stream,S3,Stream,06/03/11,1.24,4.2,1.4,4.4,5.05,11.65,2.76,19,2.4,F,1,0.3315116890850155,1.6099999999999999,-1.1160994082025089
S30A,163,Lake,S30,Stream,06/04/11,0.56,3.5,0.73,3.9,4.02,8.61,2.81,20,3.3,M,1,0.7381959992666807,1.3533333333333333,-1.0746919979536946
S30B,162,Lake,S30,Stream,06/04/11,2.02,5.2,1.59,5.2,5.58,11.68,3.78,21,2.4,F,1,0.7381959992666807,1.3533333333333333,0.9031025192888193
S30C,74,Stream,S30,Stream,06/02/11,1.48,4.7,1.56,4.9,5.68,11.9,2.81,19,2.9,F,1,0.7381959992666807,1.3533333333333333,0.1715894786648757
S31A,73,Stream,S31,Stream,06/02/11,2.28,5.2,2.17,5.5,6.32,13.24,3.59,19,3.1,F,1,0.9295877222367629,1.2066666666666666,1.1546337238089714
S31B,165,Lake,S31,Stream,06/04/11,0.66,3.7,0.86,4.1,3.66,9.09,2.86,18,2.9,M,1,0.9295877222367629,1.2066666666666666,-0.5880743189586064
S31C,164,Lake,S31,Stream,06/04/11,0.68,3.8,0.93,4.1,4.2,8.72,2.82,19,2.2,M,1,0.9295877222367629,1.2066666666666666,-0.5665594048503647
166,166,Lake,S32,Stream,06/04/11,0.63,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.441927595879687,0.9,-0.6109598099719177
S32A,167,Lake,S32,Stream,06/04/11,0.66,3.5,0.92,4.1,4.37,9.3,2.76,20,2.7,F,1,0.441927595879687,0.9,-0.5430753866417046
S32B,72,Stream,S32,Stream,06/02/11,1.41,4.9,1.71,5,5.96,12.38,3.29,16,2.4,F,1,0.441927595879687,0.9,1.154035196613622
70,70,Stream,S33,Stream,06/02/11,1.11,4.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3174901573277509,1.23,-0.37796447300922686
S33A,168,Lake,S33,Stream,06/04/11,0.99,4.4,1.09,4.7,4.85,10.69,2.65,19,2.7,F,1,0.3174901573277509,1.23,-0.7559289460184544
S33B,71,Stream,S33,Stream,06/02/11,1.59,4.6,2.06,4.9,6.11,14,3.03,19,3.3,F,1,0.3174901573277509,1.23,1.133893419027682
169,169,Lake,S34,Stream,06/04/11,0.73,4.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6610849668033099,1.1166666666666667,-0.5848970799266567
S34A,170,Lake,S34,Stream,06/04/11,0.74,5,1.38,5.2,5.4,9.68,3.32,21,3,F,1,0.6610849668033099,1.1166666666666667,-0.5697704313078639
S34B,69,Stream,S34,Stream,06/02/11,1.88,5.1,1.8,5.2,6.44,12.24,3.17,18,2.9,F,1,0.6610849668033099,1.1166666666666667,1.1546675112345202
171,171,Lake,S35,Stream,06/04/11,0.77,4.1,NA,NA,NA,NA,NA,NA,NA,NA,0,1.336712384920556,1.4500000000000002,-0.5087107800234933
172,172,Lake,S35,Stream,06/04/11,0.59,3.7,NA,NA,NA,NA,NA,NA,NA,NA,0,1.336712384920556,1.4500000000000002,-0.6433695159120651
S35A,68,Stream,S35,Stream,06/02/11,2.99,5.5,2.77,5.7,6.78,14.34,3.65,18,3.6,F,1,1.336712384920556,1.4500000000000002,1.1520802959355583
173,173,Lake,S36,Stream,06/04/11,2.51,5.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0.8450641001328438,1.7233333333333332,0.9308958533950299
S36A,67,Stream,S36,Stream,06/02/11,1.83,4.8,1.69,5,5.82,12.23,3.57,20,3,M,1,0.8450641001328438,1.7233333333333332,0.12622316656203825
S36B,174,Lake,S36,Stream,06/04/11,0.83,3.9,0.86,4.2,3.98,9,3.15,18,2.9,M,1,0.8450641001328438,1.7233333333333332,-1.0571190199570677
175,175,Lake,S37,Stream,06/04/11,1.88,5.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3419551627528576,1.6533333333333333,0.6628549335004079
66,66,Stream,S37,Stream,06/02/11,1.82,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3419551627528576,1.6533333333333333,0.4873933334561827
S37C,65,Stream,S37,Stream,06/02/11,1.26,4.3,1.53,4.7,NA,NA,NA,NA,NA,NA,1,0.3419551627528576,1.6533333333333333,-1.1502482669565905
176,176,Lake,S38,Stream,06/04/11,0.76,3.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.40501028793517496,1.1966666666666668,-1.0781619126093869
177,177,Lake,S38,Stream,06/04/11,1.27,4.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0.40501028793517496,1.1966666666666668,0.18106535936951512
S38A,64,Stream,S38,Stream,06/02/11,1.56,4.7,1.79,5,6.17,11.62,3.25,19,2.6,F,1,0.40501028793517496,1.1966666666666668,0.8970965532398713
179,179,Lake,S39,Stream,06/04/11,0.65,3.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6067124524847005,1.34,-1.1372768057985423
S39A,63,Stream,S39,Stream,06/02/11,1.79,4.8,1.94,5,5.28,12.65,3.63,18,2.9,M,1,0.6067124524847005,1.34,0.7417022646512231
S39B,178,Lake,S39,Stream,06/04/11,1.58,4.2,1.58,5,4.88,11.53,3.49,21,3.8,M,1,0.6067124524847005,1.34,0.395574541147319
124,124,Lake,S4,Stream,06/03/11,2.45,5.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0.3233161507461905,2.1033333333333335,1.072221928495019
S04A,113,Stream,S4,Stream,06/03/11,1.81,4.9,1.7,5.1,5.73,11.65,3.89,18,3.5,M,1,0.3233161507461905,2.1033333333333335,-0.9072647087265548
S04B,114,Stream,S4,Stream,06/03/11,2.05,5,1.54,5.2,5.48,11,3.3,17,2.6,F,1,0.3233161507461905,2.1033333333333335,-0.16495721976846553
S40A,62,Stream,S40,Stream,06/02/11,2.33,5.4,2.44,5.5,6.67,13.08,3.38,17,2.5,F,1,0.6581793068761734,1.95,0.5773502691896258
S40B,180,Lake,S40,Stream,06/04/11,2.33,5.4,2.19,5.8,5.8,12.77,3.88,21,3.2,F,1,0.6581793068761734,1.95,0.5773502691896258
S40C,61,Stream,S40,Stream,06/02/11,1.19,4.5,1.73,5.1,5.89,11.78,3.19,18,2.4,F,1,0.6581793068761734,1.95,-1.1547005383792515
S05A,125,Lake,S5,Stream,06/03/11,0.89,4,0.92,4.2,4.24,9.24,2.61,19,2.8,M,1,0.5634713834792322,1.54,-1.153563462240948
S05B,112,Stream,S5,Stream,06/03/11,1.84,5.1,1.8,5.1,5.65,11.93,3.77,18,2.7,M,1,0.5634713834792322,1.54,0.5324139056496684
S05C,111,Stream,S5,Stream,06/03/11,1.89,5.1,1.65,5.3,5.86,12.34,3.51,19,3.6,M,1,0.5634713834792322,1.54,0.6211495565912795
S06A,110,Stream,S6,Stream,06/03/11,1.82,4.8,1.81,4.9,6.24,12.99,3.77,16,2.9,M,1,0.35529330606322057,1.4566666666666668,1.0226292675175874
S06B,109,Stream,S6,Stream,06/03/11,1.44,4.4,1.18,4.5,6.01,11.81,2.73,17,2.5,M,1,0.35529330606322057,1.4566666666666668,-0.04690959942741273
S06C,126,Lake,S6,Stream,06/03/11,1.11,4.5,0.84,4.1,4.22,8.17,2.64,17,3.4,F,1,0.35529330606322057,1.4566666666666668,-0.9757196680901754
127,127,Lake,S7,Stream,06/03/11,0.85,4,NA,NA,NA,NA,NA,NA,NA,NA,0,1.3425721582097554,1.6500000000000001,-0.595871138179087
S07A,108,Stream,S7,Stream,06/03/11,3.2,5.5,2,5.7,6.21,12.85,3.58,19,3,F,1,1.3425721582097554,1.6500000000000001,1.1545003302219807
S07C,128,Lake,S7,Stream,06/03/11,0.9,4,0.95,4.4,3.54,9.13,3.09,16,2.5,M,1,1.3425721582097554,1.6500000000000001,-0.558629192042894
S08A,107,Stream,S8,Stream,06/03/11,1.53,4.6,1.41,4.9,5.23,9.99,2.96,17,2.8,F,1,0.4163331998932266,1.1966666666666668,0.8006407690254354
S08B,129,Lake,S8,Stream,06/03/11,0.73,4,0.83,4.3,3.5,7.89,2.86,19,3.4,M,1,0.4163331998932266,1.1966666666666668,-1.1208970766356101
S08C,106,Stream,S8,Stream,06/03/11,1.33,4.4,1.58,4.8,5.5,11.7,3.26,18,2.5,F,1,0.4163331998932266,1.1966666666666668,0.32025630761017415
S09A,104,Stream,S9,Stream,06/03/11,1.76,4.9,1.45,5,5.86,12.35,2.83,20,3.2,F,1,0.3666060555964672,1.68,0.21821789023599258
S09B,105,Stream,S9,Stream,06/03/11,2,5,1.91,5.2,6.13,12.61,3.47,19,3,M,1,0.3666060555964672,1.68,0.8728715609439697
S09C,130,Lake,S9,Stream,06/03/11,1.28,4.9,0.89,4.9,4.3,8.83,2.27,17,2.9,F,1,0.3666060555964672,1.68,-1.0910894511799616
C01,241,Lake,NA,Control,NA,NA,NA,1.12,4.7,4.13,9.55,3.43,21,3,M,NA,NA,NA,NA
C02,242,Lake,NA,Control,NA,NA,NA,0.52,3.5,3.22,7.68,2.75,19,2.7,M,NA,NA,NA,NA
C03,243,Lake,NA,Control,NA,NA,NA,0.53,3.7,3.53,8.54,2.24,21,2.5,M,NA,NA,NA,NA
C04,244,Lake,NA,Control,NA,NA,NA,0.63,3.8,3.68,8.17,2.61,18,2.7,M,NA,NA,NA,NA
C05,245,Lake,NA,Control,NA,NA,NA,0.51,3.5,2.61,7.45,1.83,16,1.7,M,NA,NA,NA,NA
C06,246,Lake,NA,Control,NA,NA,NA,0.83,3.8,3.28,8.36,2.49,19,2.1,F,NA,NA,NA,NA
C07,247,Lake,NA,Control,NA,NA,NA,0.54,3.7,3.23,7.92,2.49,18,2.4,M,NA,NA,NA,NA
C08,248,Lake,NA,Control,NA,NA,NA,0.7,3.9,3.74,8.11,2.56,17,2.8,M,NA,NA,NA,NA
C09,249,Lake,NA,Control,NA,NA,NA,0.63,3.7,3.62,7.17,2.22,19,2.6,M,NA,NA,NA,NA
C10,250,Lake,NA,Control,NA,NA,NA,0.5,3.5,3.78,7.46,2.27,19,1.9,F,NA,NA,NA,NA
C11,251,Lake,NA,Control,NA,NA,NA,0.57,4,3.23,7.84,2.52,17,3.8,M,NA,NA,NA,NA
C12,252,Lake,NA,Control,NA,NA,NA,0.43,4.2,3.28,8.08,2.72,20,2.5,M,NA,NA,NA,NA
C13,253,Lake,NA,Control,NA,NA,NA,1.03,4.6,4.53,9.7,3.28,18,3.6,M,NA,NA,NA,NA
C14,254,Lake,NA,Control,NA,NA,NA,0.85,4.2,4.02,9.33,2.85,19,2.3,M,NA,NA,NA,NA
C15,255,Lake,NA,Control,NA,NA,NA,0.86,4.6,3.95,8.23,2.79,18,2.6,F,NA,NA,NA,NA
C16,256,Lake,NA,Control,NA,NA,NA,0.53,3.7,2.86,7.94,2.8,21,2.4,M,NA,NA,NA,NA
C17,257,Lake,NA,Control,NA,NA,NA,0.74,4.2,3.39,7.87,2.39,19,2.9,M,NA,NA,NA,NA
C18,258,Lake,NA,Control,NA,NA,NA,0.93,4.2,4.21,8.59,3.25,19,2.7,F,NA,NA,NA,NA
C19,259,Lake,NA,Control,NA,NA,NA,0.94,4.4,4.17,9.35,2.95,21,3.2,M,NA,NA,NA,NA
C20,260,Lake,NA,Control,NA,NA,NA,0.81,4.2,3.53,9.01,2.68,15,2,M,NA,NA,NA,NA
C21,261,Lake,NA,Control,NA,NA,NA,0.6,3.9,2.8,7.35,2.06,22,2.8,M,NA,NA,NA,NA
C22,262,Lake,NA,Control,NA,NA,NA,0.74,4.2,3.54,8.32,2.58,18,2.8,M,NA,NA,NA,NA
C23,263,Lake,NA,Control,NA,NA,NA,1.33,4.8,4.44,10.91,3.35,20,2.4,M,NA,NA,NA,NA
C24,264,Lake,NA,Control,NA,NA,NA,0.67,3.9,3.29,8.53,2.75,18,2,M,NA,NA,NA,NA
C25,265,Lake,NA,Control,NA,NA,NA,0.63,4.1,3.76,7.65,2.52,20,1.9,F,NA,NA,NA,NA
C26,266,Lake,NA,Control,NA,NA,NA,0.63,3.8,2.55,8.18,2.58,20,1.7,M,NA,NA,NA,NA
C27,267,Lake,NA,Control,NA,NA,NA,1.97,5.3,5.05,12.66,4.22,19,3.3,M,NA,NA,NA,NA
C28,268,Lake,NA,Control,NA,NA,NA,0.76,4.2,3.25,7.96,2.73,19,2.6,M,NA,NA,NA,NA
C29,269,Lake,NA,Control,NA,NA,NA,1.67,5.3,5.31,11.4,3.55,21,2.9,M,NA,NA,NA,NA
C30,270,Lake,NA,Control,NA,NA,NA,0.75,4.2,3.4,8.77,2.68,19,2.5,M,NA,NA,NA,NA
C31,271,Stream,NA,Control,NA,NA,NA,1.42,4.8,6.05,11.17,3.49,21,2.7,F,NA,NA,NA,NA
C32,272,Stream,NA,Control,NA,NA,NA,1.95,5.1,5.72,12.92,3.69,19,3.3,M,NA,NA,NA,NA
C33,273,Stream,NA,Control,NA,NA,NA,1.09,4.4,4.73,10.49,2.94,18,2.2,M,NA,NA,NA,NA
C34,274,Stream,NA,Control,NA,NA,NA,1.5,4.8,5.47,11.81,3.27,18,2.9,M,NA,NA,NA,NA
C35,275,Stream,NA,Control,NA,NA,NA,2.11,5.4,6.77,12.95,3.79,16,2.1,F,NA,NA,NA,NA
C36,276,Stream,NA,Control,NA,NA,NA,1.93,5.4,6.77,12.73,3.32,18,2.8,F,NA,NA,NA,NA
C37,277,Stream,NA,Control,NA,NA,NA,1.52,5,5.62,12.06,3.58,18,3.2,M,NA,NA,NA,NA
C38,278,Stream,NA,Control,NA,NA,NA,1.58,4.8,5.47,12.06,3.75,19,3,M,NA,NA,NA,NA
C39,279,Stream,NA,Control,NA,NA,NA,1.54,4.9,5.72,12.16,3.37,17,2.8,M,NA,NA,NA,NA
C40,280,Stream,NA,Control,NA,NA,NA,3.13,6.2,8.25,14.39,4.35,18,3.5,F,NA,NA,NA,NA
C41,281,Stream,NA,Control,NA,NA,NA,1.29,4.6,5.46,11.49,3.24,20,2.3,M,NA,NA,NA,NA
C42,282,Stream,NA,Control,NA,NA,NA,1.43,4.7,5.51,11.46,3.31,21,2.8,M,NA,NA,NA,NA
C43,283,Stream,NA,Control,NA,NA,NA,1.55,4.8,5.32,12.26,3.54,17,3.2,M,NA,NA,NA,NA
C44,284,Stream,NA,Control,NA,NA,NA,1.28,5,5.6,11.36,2.92,18,2.7,F,NA,NA,NA,NA
C45,285,Stream,NA,Control,NA,NA,NA,1.49,4.7,5.23,11.76,2.97,17,2.7,F,NA,NA,NA,NA
C46,286,Stream,NA,Control,NA,NA,NA,1.38,4.9,5.9,11.66,3.44,18,2.9,F,NA,NA,NA,NA
C47,287,Stream,NA,Control,NA,NA,NA,1.55,4.8,5.63,12.44,3.4,18,2,M,NA,NA,NA,NA
C48,288,Stream,NA,Control,NA,NA,NA,1.26,4.5,5.36,10.47,3.36,19,2.8,M,NA,NA,NA,NA
C49,289,Stream,NA,Control,NA,NA,NA,1.17,4.4,5.58,11.04,3.17,19,2.9,M,NA,NA,NA,NA
C50,290,Stream,NA,Control,NA,NA,NA,1.43,4.9,6.09,11.04,3.46,22,2.5,F,NA,NA,NA,NA
C51,291,Stream,NA,Control,NA,NA,NA,2.02,5.3,6.28,13.01,4.09,21,3.3,M,NA,NA,NA,NA
C52,292,Stream,NA,Control,NA,NA,NA,1.21,4.6,5.69,11.34,3.22,18,2.7,F,NA,NA,NA,NA
C53,293,Stream,NA,Control,NA,NA,NA,1.79,5.7,5.74,12.02,3.61,19,3,M,NA,NA,NA,NA
C54,294,Stream,NA,Control,NA,NA,NA,1.89,5.3,6.13,12.36,3.75,20,3.6,M,NA,NA,NA,NA
C55,295,Stream,NA,Control,NA,NA,NA,1.17,4.6,4.71,10.65,2.71,19,2.3,M,NA,NA,NA,NA
C56,296,Stream,NA,Control,NA,NA,NA,1.59,4.9,5.74,11.66,3.14,18,2.5,F,NA,NA,NA,NA
C57,297,Stream,NA,Control,NA,NA,NA,2.28,5.8,7,13.36,4.17,19,2.4,F,NA,NA,NA,NA
C58,298,Stream,NA,Control,NA,NA,NA,0.8,4,3.97,9.57,2.65,19,2.6,F,NA,NA,NA,NA
C59,299,Stream,NA,Control,NA,NA,NA,1.28,4.9,5.42,10.24,3.05,16,2.9,F,NA,NA,NA,NA
C60,300,Stream,NA,Control,NA,NA,NA,0.66,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
